cluster_rank	cluster_X	cluster_Y	best_adjusted_pvalue
11	Lachnospiraceae_SGB4574;Firmicutes_unclassified_SGB14909	tryptophan;glycylisoleucine;glycylleucine;glycylvaline;phenylalanine;tyrosine	0.00027952458761714864
12	Bifidobacterium_canis_SGB53847	1-methylhistamine;histamine;N-acetylhistamine	0.0003390520989192276
13	Lachnospiraceae_SGB4591;Firmicutes_SGB105989;Blautia_SGB47659_SGB47659;Blautia_SGB47660_SGB47660;Lachnospiraceae_SGB106016;Coprococcus_sp_AF21_14LB_SGB25437;Lachnospiraceae_SGB66069;Lachnospiraceae_SGB58537	indolelactate	0.0003710319262395324
14	Bifidobacterium_criceti_SGB17283;Bifidobacterium_animalis_SGB17278	L-urobilin;N-methylproline;diacetylspermidine*	0.00046789023884743163
15	Collinsella_SGB14744_SGB14744;Collinsella_intestinalis_SGB14741;Mediterraneibacter_glycyrrhizinilyticus_SGB4606	choline;L-urobilin;N-methylproline;diacetylspermidine*	0.0004890732633950671
16	Collinsella_SGB14744_SGB14744	creatinine	0.0005280828432893952
17	Lachnospiraceae_SGB4574;Firmicutes_unclassified_SGB14909	lysine;glutamine;glycine;methionine sulfoxide;alanine;threonine;leucine;methionine;isoleucine;valine	0.0005423031233513898
18	Collinsella_SGB14744_SGB14744	glycosyl-N-palmitoyl-sphingosine (d18:1/16:0);glycosyl-N-stearoyl-sphingosine (d18:1/18:0);N,N-dimethylalanine;N,N-dimethyl-5-aminovalerate;equol;2'-deoxyinosine;2'-deoxyuridine;thymidine	0.0006341711638859633
19	Limosilactobacillus_reuteri_SGB7095	1-methyl-4-imidazoleacetate;4-imidazoleacetate	0.0006358620282409887
20	Erysipelotrichaceae_SGB66599;Lachnospiraceae_SGB4859;Lachnospiraceae_SGB66068;Holdemanella_porci_SGB6796;Allobaculum_stercoricanis_SGB29316	malate;glutamate;gamma-glutamyl-alpha-lysine	0.0006636506429114142
21	Allobaculum_stercoricanis_SGB29316	inosine;xanthosine;uridine;cytidine;5-methyluridine (ribothymidine);adenosine;guanosine	0.0006736022348676438
22	Mediterraneibacter_glycyrrhizinilyticus_SGB4606	5-methylcytosine	0.0006804256759992243
23	Erysipelotrichaceae_SGB44483;Erysipelotrichaceae_SGB65944	N-methylalanine;enterodiol	0.0007035254476134392
24	Lactobacillus_johnsonii_SGB7041;Limosilactobacillus_reuteri_SGB7095	N2-acetyllysine	0.0007049400894342652
25	Collinsella_SGB14744_SGB14744;Collinsella_intestinalis_SGB14741;Mediterraneibacter_glycyrrhizinilyticus_SGB4606;Erysipelotrichaceae_SGB66599;Lachnospiraceae_SGB4859;Lachnospiraceae_SGB66068;Holdemanella_porci_SGB6796;Allobaculum_stercoricanis_SGB29316	N2-acetyllysine;N6-acetyllysine	0.0007049400894342652
26	Lactobacillus_acidophilus_SGB7044;Lactobacillus_johnsonii_SGB7041;Limosilactobacillus_reuteri_SGB7095	13-HODE + 9-HODE;5-methylcytosine	0.0007049400894342652
27	Lachnospiraceae_SGB4859;Lachnospiraceae_SGB66068;Holdemanella_porci_SGB6796;Allobaculum_stercoricanis_SGB29316	histamine	0.0007049400894342652
28	Lachnospiraceae_SGB4859;Lachnospiraceae_SGB66068;Holdemanella_porci_SGB6796;Allobaculum_stercoricanis_SGB29316	imidazole lactate	0.000773154859815049
29	Peptostreptococcus_russellii_SGB743	beta-alanine;3-aminoisobutyrate	0.0008756640053129472
30	Lachnospiraceae_SGB4574;Firmicutes_unclassified_SGB14909	isoleucylglycine;valylglycine	0.0009277503320707539
31	Collinsella_SGB14744_SGB14744	AMP	0.0009325642058729842
32	Erysipelotrichaceae_SGB65948;Faecalibaculum_rodentium_SGB4047;Atopobiaceae_unclassified_SGB105119_SGB105119;Erysipelotrichaceae_SGB44483;Erysipelotrichaceae_SGB65944	N,N-dimethylalanine	0.0009484983990025063
33	Bifidobacterium_canis_SGB53847;Bifidobacterium_pullorum_SGB17264;Bifidobacterium_pseudolongum_SGB17279;Bifidobacterium_criceti_SGB17283;Bifidobacterium_animalis_SGB17278	N-acetylhistidine	0.0010492149311932186
34	Erysipelotrichaceae_SGB44483;Erysipelotrichaceae_SGB65944	I-urobilinogen;D-urobilin	0.0010796386797773936
35	Lactobacillus_acidophilus_SGB7044;Lactobacillus_johnsonii_SGB7041;Limosilactobacillus_reuteri_SGB7095	cytosine	0.0011078605509049653
36	Firmicutes_SGB4052	isovalerylglycine;isobutyrylglycine (C4)	0.0012710285143157363
37	Collinsella_SGB14744_SGB14744	UMP	0.0012710285143157363
38	Faecalibaculum_rodentium_SGB4047;Atopobiaceae_unclassified_SGB105119_SGB105119;Erysipelotrichaceae_SGB44483;Erysipelotrichaceae_SGB65944	N-acetylhistidine	0.0013353158402462475
39	Firmicutes_SGB4052	1-palmitoyl-2-linoleoyl-digalactosylglycerol (16:0/18:2)*;1-palmitoyl-2-linoleoyl-galactosylglycerol (16:0/18:2)*	0.0013353158402462475
40	Erysipelotrichaceae_SGB65948;Faecalibaculum_rodentium_SGB4047;Atopobiaceae_unclassified_SGB105119_SGB105119;Erysipelotrichaceae_SGB44483;Erysipelotrichaceae_SGB65944	enterolactone;enterolactone sulfate	0.0014628297470964254
41	Oscillospiraceae_SGB15313	guanine;2'-deoxycytidine	0.0015040525242928367
42	Lachnospiraceae_SGB66069	4-hydroxyphenylpyruvate;3-methyl-2-oxobutyrate;4-methyl-2-oxopentanoate;3-methyl-2-oxovalerate	0.0015565108116461647
43	Lachnospiraceae_SGB4574	trans-urocanate;serine;citrulline	0.001592433450575832
44	Holdemanella_porci_SGB6796	N-acetyl-1-methylhistidine*;1-methyl-4-imidazoleacetate;4-imidazoleacetate	0.001646393799428766
45	Collinsella_SGB14744_SGB14744;Collinsella_intestinalis_SGB14741;Mediterraneibacter_glycyrrhizinilyticus_SGB4606	4-acetamidobutanoate;N-acetyl-1-methylhistidine*;1-methyl-4-imidazoleacetate;4-imidazoleacetate	0.001659284167668028
46	Faecalimonas_umbilicata_SGB4583	glycosyl-N-palmitoyl-sphingosine (d18:1/16:0);glycosyl-N-stearoyl-sphingosine (d18:1/18:0)	0.0017307818159570866
47	Firmicutes_SGB105987	2-hydroxybutyrate/2-hydroxyisobutyrate;alpha-hydroxyisocaproate;2-hydroxy-3-methylvalerate;alpha-hydroxyisovalerate;2-hydroxy-4-(methylthio)butanoic acid	0.0018297775544595845
48	Firmicutes_unclassified_SGB14909	alpha-ketoglutaramate*;phenylpyruvate	0.0019144896587331877
49	Adlercreutzia_equolifaciens_SGB14797	I-urobilinogen;D-urobilin	0.0019144896587331877
50	Erysipelotrichaceae_SGB66599	beta-alanine;3-aminoisobutyrate	0.001981939477033729
51	Firmicutes_SGB106203	heptanoate (7:0);1-methylnicotinamide;xanthurenate;alpha-ketoglutaramate*;phenylpyruvate	0.002017979213603328
52	Faecalibaculum_rodentium_SGB4047;Atopobiaceae_unclassified_SGB105119_SGB105119;Erysipelotrichaceae_SGB44483;Erysipelotrichaceae_SGB65944	putrescine;N-acetylputrescine;butyrylputrescine/isobutyrylputrescine	0.0020252284416582217
53	Muribaculaceae_SGB48227;Streptococcus_lutetiensis_SGB8021;UNKNOWN;Erysipelotrichaceae_SGB72140;Dubosiella_newyorkensis_SGB6789;Adlercreutzia_equolifaciens_SGB14797;Coriobacteriaceae_bacterium_SGB33579;Erysipelotrichaceae_SGB105325;Erysipelotrichaceae_SGB65947;Coriobacteriaceae_SGB66221;Atopobiaceae_unclassified_SGB63087_SGB63087;Erysipelotrichaceae_SGB65948;Faecalibaculum_rodentium_SGB4047;Atopobiaceae_unclassified_SGB105119_SGB105119;Erysipelotrichaceae_SGB44483;Erysipelotrichaceae_SGB65944	equol	0.0020623631608308484
54	Adlercreutzia_equolifaciens_SGB14797	2-hydroxysebacate	0.002212981130965825
55	Lachnospiraceae_SGB66069;Lachnospiraceae_SGB58537	3-(4-hydroxyphenyl)lactate (HPLA)	0.0022152806081520812
56	Lachnospiraceae_SGB66069;Lachnospiraceae_SGB58537	alanine;threonine;leucine;methionine;isoleucine;valine	0.0022308063943781175
57	Firmicutes_unclassified_SGB14909	riboflavin (Vitamin B2)	0.0022443158250734095
58	Slackia_SGB14781_SGB14781	1-linoleoyl-GPE (18:2)*	0.002324506288512292
59	Ligilactobacillus_ruminis_SGB7061	phytosphingosine;dehydrophytosphingosine*;lithocholate;deoxycholate;hyodeoxycholate	0.002365405633970595
60	Lachnospiraceae_SGB4859;Lachnospiraceae_SGB66068	glycerophosphoserine*	0.002409159592803718
61	Lactobacillus_johnsonii_SGB7041;Limosilactobacillus_reuteri_SGB7095	linolenoyl ethanolamide;arachidonoyl ethanolamide;palmitoleoyl ethanolamide*	0.002540421252530697
62	Erysipelotrichaceae_SGB65948;Faecalibaculum_rodentium_SGB4047;Atopobiaceae_unclassified_SGB105119_SGB105119;Erysipelotrichaceae_SGB44483;Erysipelotrichaceae_SGB65944	nicotinic acid mononucleotide (NaMN)	0.002585756602106489
63	Lachnospiraceae_SGB4870;Blautia_caecimuris_SGB4862	lysine;glutamine;glycine;methionine sulfoxide;alanine;threonine;leucine;methionine;isoleucine;valine	0.002645704862144394
64	Lachnospiraceae_unclassified_SGB65957_SGB65957	N-methylproline;diacetylspermidine*	0.0026974745117321294
65	Erysipelotrichaceae_SGB65948;Faecalibaculum_rodentium_SGB4047;Atopobiaceae_unclassified_SGB105119_SGB105119;Erysipelotrichaceae_SGB44483;Erysipelotrichaceae_SGB65944	1-methylhistamine;histamine;N-acetylhistamine	0.0026984896981116064
66	Collinsella_SGB14744_SGB14744	N-methylalanine;enterodiol	0.0027322294324926247
67	Collinsella_SGB14744_SGB14744	alpha-CEHC;I-urobilinogen;D-urobilin	0.002761934861135248
68	Dubosiella_newyorkensis_SGB6789	3-hydroxybutyrate (BHBA);cinnamate;isocaproate (i6:0);5-methylhexanoate (i7:0)	0.002823654832513097
69	Erysipelotrichaceae_SGB65948;Faecalibaculum_rodentium_SGB4047;Atopobiaceae_unclassified_SGB105119_SGB105119;Erysipelotrichaceae_SGB44483;Erysipelotrichaceae_SGB65944	UMP	0.0028492652187542093
70	Erysipelotrichaceae_SGB65948;Faecalibaculum_rodentium_SGB4047;Atopobiaceae_unclassified_SGB105119_SGB105119;Erysipelotrichaceae_SGB44483;Erysipelotrichaceae_SGB65944	N,N-dimethyl-5-aminovalerate	0.002909345686033645
71	Firmicutes_SGB4052	N-acetylserine;N-acetylthreonine;N-acetylglutamine;N-acetylhistidine	0.0030951822587471254
72	Oscillospiraceae_SGB15313	4-hydroxyphenylpyruvate;3-methyl-2-oxobutyrate;4-methyl-2-oxopentanoate;3-methyl-2-oxovalerate	0.003236848240027621
73	Ligilactobacillus_ruminis_SGB7061	glycerophosphoserine*	0.0033235569640185213
74	Erysipelotrichaceae_SGB72140	I-urobilinogen;D-urobilin	0.0033235569640185213
75	Faecalimonas_umbilicata_SGB4583	N,N-dimethylalanine	0.0033677314361363086
76	Ligilactobacillus_ruminis_SGB7061	5,6-dihydrouridine	0.003386042338388639
77	Firmicutes_SGB4052	gamma-glutamylmethionine;gamma-glutamylisoleucine*;2-hydroxyglutarate	0.0035497884475518718
78	Bifidobacterium_canis_SGB53847;Bifidobacterium_pullorum_SGB17264;Bifidobacterium_pseudolongum_SGB17279;Bifidobacterium_criceti_SGB17283;Bifidobacterium_animalis_SGB17278	N,N-dimethylalanine	0.0035497884475518718
79	Bifidobacterium_canis_SGB53847	diacetylspermidine*	0.0035497884475518718
80	Erysipelotrichaceae_SGB65948;Faecalibaculum_rodentium_SGB4047;Atopobiaceae_unclassified_SGB105119_SGB105119;Erysipelotrichaceae_SGB44483;Erysipelotrichaceae_SGB65944	3-hydroxybutyrate (BHBA);cinnamate;isocaproate (i6:0);5-methylhexanoate (i7:0)	0.0035497884475518718
81	Lachnospiraceae_SGB4859;Lachnospiraceae_SGB66068	indoleacetate	0.0035681426877360698
82	Blautia_producta_SGB4791	pyrraline;3,4-dihydroxybutyrate;2-acetamidobutanoate;N-propionylalanine;N-acetylvaline	0.003679505113988492
83	Lachnospiraceae_SGB4574	3-hydroxymyristate	0.003679505113988492
84	Lactobacillus_johnsonii_SGB7041	gamma-glutamylisoleucine*	0.00372227363929774
85	Lachnospiraceae_SGB4574	alpha-ketoglutaramate*;phenylpyruvate	0.0037722607123254746
86	Erysipelotrichaceae_SGB72140;Dubosiella_newyorkensis_SGB6789;Adlercreutzia_equolifaciens_SGB14797;Coriobacteriaceae_bacterium_SGB33579;Erysipelotrichaceae_SGB105325;Erysipelotrichaceae_SGB65947;Coriobacteriaceae_SGB66221;Atopobiaceae_unclassified_SGB63087_SGB63087;Erysipelotrichaceae_SGB65948;Faecalibaculum_rodentium_SGB4047;Atopobiaceae_unclassified_SGB105119_SGB105119;Erysipelotrichaceae_SGB44483;Erysipelotrichaceae_SGB65944	N2-acetyllysine	0.0037722607123254746
87	Streptococcus_lutetiensis_SGB8021	alpha-CEHC;I-urobilinogen;D-urobilin	0.0038722522750230235
88	Erysipelotrichaceae_SGB72140;Dubosiella_newyorkensis_SGB6789;Adlercreutzia_equolifaciens_SGB14797;Coriobacteriaceae_bacterium_SGB33579;Erysipelotrichaceae_SGB105325;Erysipelotrichaceae_SGB65947;Coriobacteriaceae_SGB66221;Atopobiaceae_unclassified_SGB63087_SGB63087;Erysipelotrichaceae_SGB65948;Faecalibaculum_rodentium_SGB4047;Atopobiaceae_unclassified_SGB105119_SGB105119;Erysipelotrichaceae_SGB44483;Erysipelotrichaceae_SGB65944	3-aminoisobutyrate	0.004015814136392779
89	Bifidobacterium_criceti_SGB17283;Bifidobacterium_animalis_SGB17278	1-methylhistamine;histamine;N-acetylhistamine	0.004214656842223032
90	Bifidobacterium_canis_SGB53847;Bifidobacterium_pullorum_SGB17264;Bifidobacterium_pseudolongum_SGB17279;Bifidobacterium_criceti_SGB17283;Bifidobacterium_animalis_SGB17278	valerate (5:0);caproate (6:0)	0.004246072390925282
91	Lachnospiraceae_SGB4859;Lachnospiraceae_SGB66068	5-aminovalerate	0.004375438733105406
92	UNKNOWN	cis-3,4-methyleneheptanoylcarnitine	0.0043768708386673376
93	Lachnospiraceae_SGB66068	indolelactate	0.004505601164569252
94	Streptococcus_lutetiensis_SGB8021	enterodiol	0.004505601164569252
95	Bifidobacterium_canis_SGB53847;Bifidobacterium_pullorum_SGB17264;Bifidobacterium_pseudolongum_SGB17279;Bifidobacterium_criceti_SGB17283;Bifidobacterium_animalis_SGB17278	enterodiol	0.004694002199481556
96	Firmicutes_unclassified_SGB14909	N-acetyltaurine;alpha-CEHC taurine*;dihydrokaempferol	0.0047618942822528895
97	Coriobacteriaceae_bacterium_SGB33579	oleoyl ethanolamide;palmitoyl ethanolamide	0.004764843516121403
98	Lachnospiraceae_SGB4574;Firmicutes_unclassified_SGB14909	valylglutamine	0.004770914442634022
99	Blautia_hansenii_SGB4794;Lachnospiraceae_unclassified_SGB65957_SGB65957	anserine	0.004784529821786161
100	Firmicutes_SGB105989	5-aminovalerate	0.004892601486492665
101	Lachnospiraceae_SGB106016;Coprococcus_sp_AF21_14LB_SGB25437;Lachnospiraceae_SGB66069;Lachnospiraceae_SGB58537	N-acetylglycine;succinate	0.004923967411701929
102	Lachnospiraceae_SGB66069;Lachnospiraceae_SGB58537	glutamine	0.0049399289626225855
103	Fusicatenibacter_saccharivorans_SGB4874	nicotinic acid mononucleotide (NaMN);2'-deoxyadenosine 5'-monophosphate;TMP	0.0049399289626225855
104	Lachnospiraceae_unclassified_SGB65957_SGB65957	histamine;N-acetylhistamine	0.0049399289626225855
105	Erysipelotrichaceae_SGB65946	pheophorbide A	0.0049399289626225855
106	Limosilactobacillus_reuteri_SGB7095	adenine	0.004985377138148614
107	Lachnospiraceae_SGB66069;Lachnospiraceae_SGB58537	gamma-glutamylisoleucine*	0.005006893725795736
108	Erysipelotrichaceae_SGB72140	phosphocholine	0.0052762718692171634
109	Collinsella_SGB14744_SGB14744;Collinsella_intestinalis_SGB14741;Mediterraneibacter_glycyrrhizinilyticus_SGB4606	isohyodeoxycholate	0.0053215727212287045
110	Dubosiella_newyorkensis_SGB6789	N-methylalanine;enterodiol	0.00539165392052205
111	Collinsella_sp_BA40_SGB86217	nicotinate ribonucleoside;inosine;xanthosine;uridine;cytidine;5-methyluridine (ribothymidine);adenosine;guanosine	0.005402443720294798
112	Bifidobacterium_pseudolongum_SGB17279;Bifidobacterium_criceti_SGB17283;Bifidobacterium_animalis_SGB17278	alpha-CEHC;I-urobilinogen;D-urobilin	0.00558235742873002
113	Erysipelotrichaceae_SGB65948;Faecalibaculum_rodentium_SGB4047;Atopobiaceae_unclassified_SGB105119_SGB105119;Erysipelotrichaceae_SGB44483;Erysipelotrichaceae_SGB65944	CMP	0.00558235742873002
114	Lachnospiraceae_SGB66069;Lachnospiraceae_SGB58537	glycine	0.0055980743537569055
115	Allobaculum_stercoricanis_SGB29316	isobutyrylglycine (C4)	0.005645728034706588
116	Lactobacillus_acidophilus_SGB7044	6-hydroxynicotinate	0.0058041817008848105
117	Blautia_caecimuris_SGB4862	eicosenoylcarnitine (C20:1)*	0.005815426091320057
118	Streptococcus_lutetiensis_SGB8021	N-acetylglutamate;N2-acetyl,N6-methyllysine;N-acetylcitrulline	0.005878226490835458
119	Erysipelotrichaceae_SGB65947;Coriobacteriaceae_SGB66221;Atopobiaceae_unclassified_SGB63087_SGB63087	isocaproate (i6:0)	0.005878226490835458
120	Ligilactobacillus_ruminis_SGB7061	indolepropionate	0.005906514046778326
121	Erysipelotrichaceae_SGB72140;Dubosiella_newyorkensis_SGB6789;Adlercreutzia_equolifaciens_SGB14797;Coriobacteriaceae_bacterium_SGB33579;Erysipelotrichaceae_SGB105325;Erysipelotrichaceae_SGB65947;Coriobacteriaceae_SGB66221;Atopobiaceae_unclassified_SGB63087_SGB63087;Erysipelotrichaceae_SGB65948;Faecalibaculum_rodentium_SGB4047;Atopobiaceae_unclassified_SGB105119_SGB105119;Erysipelotrichaceae_SGB44483;Erysipelotrichaceae_SGB65944	2-hydroxynervonate*	0.005906514046778326
122	Holdemanella_porci_SGB6796;Allobaculum_stercoricanis_SGB29316	4-hydroxyphenylacetate	0.005923186710883025
123	Bacteroidaceae_SGB1818	gamma-glutamyl-alpha-lysine	0.005923186710883025
124	Streptococcus_lutetiensis_SGB8021	dihomo-linolenoyl ethanolamide	0.005923186710883025
125	Lactobacillus_acidophilus_SGB7044	glutarate (C5-DC)	0.005923186710883025
126	Bifidobacterium_canis_SGB53847	1-methyl-4-imidazoleacetate;4-imidazoleacetate	0.005957709595143374
127	Collinsella_intestinalis_SGB14741;Mediterraneibacter_glycyrrhizinilyticus_SGB4606	malate;glutamate;gamma-glutamyl-alpha-lysine	0.00619170354451093
128	Lachnospiraceae_SGB4574	phenylacetate;4-hydroxyphenylacetate	0.006239997299995894
129	Dubosiella_newyorkensis_SGB6789;Adlercreutzia_equolifaciens_SGB14797;Coriobacteriaceae_bacterium_SGB33579;Erysipelotrichaceae_SGB105325;Erysipelotrichaceae_SGB65947;Coriobacteriaceae_SGB66221;Atopobiaceae_unclassified_SGB63087_SGB63087	1-palmitoleoylglycerol (16:1)*;2-palmitoleoylglycerol (16:1)*	0.006345437563261017
130	Limosilactobacillus_reuteri_SGB7095	(N(1) + N(8))-acetylspermidine	0.006346276407481934
131	Erysipelotrichaceae_SGB44483;Erysipelotrichaceae_SGB65944	3-methylbutanol sulfate;4-acetamidobutanoate;N-acetyl-1-methylhistidine*;1-methyl-4-imidazoleacetate;4-imidazoleacetate	0.0064024962237765265
132	Streptococcus_lutetiensis_SGB8021	N-acetylglutamine;N-acetylhistidine	0.006543572553763486
133	Adlercreutzia_equolifaciens_SGB14797	N-methylalanine;enterodiol	0.006700801376995462
134	Erysipelotrichaceae_SGB65948;Faecalibaculum_rodentium_SGB4047;Atopobiaceae_unclassified_SGB105119_SGB105119;Erysipelotrichaceae_SGB44483;Erysipelotrichaceae_SGB65944	AMP	0.006770901590945097
135	Lactobacillus_johnsonii_SGB7041;Limosilactobacillus_reuteri_SGB7095	N-acetylglycine	0.0070232165476700635
136	Blautia_caecimuris_SGB4862	lactosyl-N-palmitoyl-sphingosine (d18:1/16:0);N-acetylsphingosine	0.007102258241578059
137	Oscillospiraceae_SGB15313	asparagine;fumarate	0.007242107031246324
138	Erysipelotrichaceae_SGB44483;Erysipelotrichaceae_SGB65944	phosphocholine	0.007242107031246324
139	Erysipelotrichaceae_SGB72140	ergothioneine	0.007333626624570399
140	Lactobacillus_acidophilus_SGB7044	secoisolariciresinol diglucoside;2,4,6-trihydroxybenzoate;4-hydroxycinnamate	0.007333626624570399
141	Erysipelotrichaceae_SGB66599;Lachnospiraceae_SGB4859;Lachnospiraceae_SGB66068;Holdemanella_porci_SGB6796;Allobaculum_stercoricanis_SGB29316	N-methylproline;diacetylspermidine*	0.007339388366627362
142	Lachnospiraceae_SGB4859;Lachnospiraceae_SGB66068	3-(4-hydroxyphenyl)lactate (HPLA)	0.007409256749450193
143	Clostridiaceae_SGB4746;Clostridiaceae_bacterium_Marseille_Q3526_SGB4703	lysine;glutamine;glycine;methionine sulfoxide;alanine;threonine;leucine;methionine;isoleucine;valine	0.007413602324219585
144	Firmicutes_SGB4052	propionylglycine (C3);butyrylglycine (C4);N-acetylglycine;succinate	0.007413602324219585
145	Atopobiaceae_unclassified_SGB105119_SGB105119	cis-3,4-methyleneheptanoylcarnitine	0.007413602324219585
146	Firmicutes_SGB106203	N-methylglutamate;2R,3R-dihydroxybutyrate	0.007413602324219585
147	Clostridiaceae_SGB4746	glutamate;gamma-glutamyl-alpha-lysine	0.007420464580192176
148	Bifidobacterium_canis_SGB53847;Bifidobacterium_pullorum_SGB17264;Bifidobacterium_pseudolongum_SGB17279;Bifidobacterium_criceti_SGB17283;Bifidobacterium_animalis_SGB17278	13-HODE + 9-HODE	0.007420464580192176
149	Holdemanella_porci_SGB6796	N-formylmethionine	0.007536902042477939
150	Allobaculum_stercoricanis_SGB29316	propionylglycine (C3)	0.007536902042477939
151	Lachnospiraceae_SGB4859	isocaproate (i6:0)	0.007536902042477939
152	Firmicutes_SGB106203	apigenin;naringenin	0.007536902042477939
153	Firmicutes_unclassified_SGB14909	norvaline;N-butyryl-isoleucine;N-acetyltyrosine;N-acetylisoleucine;N-acetylleucine;N-butyryl-leucine	0.007589423311867102
154	Bifidobacterium_canis_SGB53847	alpha-CEHC;I-urobilinogen;D-urobilin	0.007589423311867102
155	Streptococcus_lutetiensis_SGB8021	AMP;UMP;CMP;dCMP	0.007589423311867102
156	Lachnospiraceae_SGB66068	N-acetylhistamine	0.007589423311867102
157	Ligilactobacillus_ruminis_SGB7061	2'-deoxyguanosine;carnitine;alpha-CEHC sulfate	0.007589423311867102
158	Allobaculum_stercoricanis_SGB29316	N-acetylarginine	0.007616954362117066
159	Faecalimonas_umbilicata_SGB4583	alpha-CEHC taurine*;dihydrokaempferol	0.007616954362117066
160	Streptococcus_lutetiensis_SGB8021	leucylhydroxyproline*	0.007616954362117066
161	Firmicutes_SGB106203	enterolactone	0.007616954362117066
162	Fusobacteriaceae_SGB6036_group	linoleoylcarnitine (C18:2)*	0.007616954362117066
163	Erysipelotrichaceae_SGB65946	pyridoxine (Vitamin B6)	0.007627224911677855
164	Erysipelotrichaceae_SGB65948;Faecalibaculum_rodentium_SGB4047;Atopobiaceae_unclassified_SGB105119_SGB105119;Erysipelotrichaceae_SGB44483;Erysipelotrichaceae_SGB65944	ergothioneine	0.0076677936199727615
165	Ligilactobacillus_ruminis_SGB7061	phenylacetylglycine;4-hydroxyphenylacetylglycine	0.0076677936199727615
166	Ligilactobacillus_ruminis_SGB7061	2-hydroxyarachidate*;2-hydroxynervonate*	0.0076677936199727615
167	Erysipelotrichaceae_SGB72140	2-hydroxysebacate	0.007668436197195946
